"transactiondate","value"
2018-01-10 00:01:11,0.0168
2018-01-10 00:01:57,0.0293
2018-01-10 00:02:12,0.0199
2018-01-10 00:02:16,0.0416
2018-01-10 00:03:08,0.0132
2018-01-10 00:03:26,0.0141
2018-01-10 00:03:29,0.0146
2018-01-10 00:03:57,0.0235
2018-01-10 00:03:58,0.0146
2018-01-10 00:04:02,0.035
2018-01-10 00:04:07,0.0739
2018-01-10 00:04:08,0.0168
2018-01-10 00:05:14,0.014
2018-01-10 00:05:59,0.023
2018-01-10 00:06:05,0.014
2018-01-10 00:06:11,0.0141
2018-01-10 00:06:33,0.03
2018-01-10 00:08:12,0.0345
2018-01-10 00:09:18,0.0132
2018-01-10 00:09:27,0.0177
2018-01-10 00:12:47,0.0394
2018-01-10 00:12:58,0.0215
2018-01-10 00:13:20,0.0136
2018-01-10 00:14:20,0.02
2018-01-10 00:14:24,0.0341
2018-01-10 00:14:27,0.0173
2018-01-10 00:14:28,0.084
2018-01-10 00:14:53,0.0171
2018-01-10 00:15:45,0.0306
2018-01-10 00:15:54,0.0276
2018-01-10 00:15:54,0.0123
2018-01-10 00:17:11,0.2659
2018-01-10 00:18:05,0.0151
2018-01-10 00:18:07,0.0132
2018-01-10 00:18:18,0.0154
2018-01-10 00:18:57,0.0154
2018-01-10 00:19:09,0.0116
2018-01-10 00:19:29,0.0151
2018-01-10 00:19:36,0.0143
2018-01-10 00:20:39,0.0152
2018-01-10 00:21:10,0.021
2018-01-10 00:21:20,0.0325
2018-01-10 00:22:23,0.0767
2018-01-10 00:22:37,0.053
2018-01-10 00:22:51,0.0129
2018-01-10 00:24:16,0.0126
2018-01-10 00:24:48,0.0131
2018-01-10 00:25:11,0.0198
2018-01-10 00:25:20,0.0233
2018-01-10 00:26:14,0.0173
2018-01-10 00:26:35,0.0179
2018-01-10 00:26:53,0.0148
2018-01-10 00:26:59,0.0129
2018-01-10 00:27:10,0.0136
2018-01-10 00:27:43,0.013
2018-01-10 00:28:08,0.0178
2018-01-10 00:28:52,0.0361
2018-01-10 00:29:02,0.0171
2018-01-10 00:29:08,0.0126
2018-01-10 00:29:21,0.0183
2018-01-10 00:29:38,0.0129
2018-01-10 00:30:05,0.0127
2018-01-10 00:30:06,0.0273
2018-01-10 00:30:11,0.015
2018-01-10 00:30:50,0.0131
2018-01-10 00:30:52,0.2231
2018-01-10 00:30:53,0.0613
2018-01-10 00:30:56,0.0151
2018-01-10 00:31:38,0.0164
2018-01-10 00:31:49,0.0146
2018-01-10 00:32:05,0.0206
2018-01-10 00:32:12,0.0178
2018-01-10 00:32:19,0.0132
2018-01-10 00:32:41,0.0132
2018-01-10 00:33:00,0.0232
2018-01-10 00:33:02,0.0209
2018-01-10 00:33:03,0.0201
2018-01-10 00:33:05,0.0135
2018-01-10 00:33:10,0.0132
2018-01-10 00:33:17,0.0284
2018-01-10 00:33:30,0.1777
2018-01-10 00:33:34,0.0122
2018-01-10 00:34:03,0.0132
2018-01-10 00:34:42,0.0132
2018-01-10 00:35:19,0.0455
2018-01-10 00:35:51,0.0765
2018-01-10 00:36:16,0.0788
2018-01-10 00:36:30,0.0318
2018-01-10 00:37:15,0.017
2018-01-10 00:37:25,0.0163
2018-01-10 00:38:14,0.0273
2018-01-10 00:38:45,0.0197
2018-01-10 00:39:12,0.0188
2018-01-10 00:39:52,0.04
2018-01-10 00:40:28,0.0604
2018-01-10 00:40:34,0.0215
2018-01-10 00:41:06,0.027
2018-01-10 00:41:47,0.0149
2018-01-10 00:42:22,0.0186
2018-01-10 00:42:39,0.0273
2018-01-10 00:43:22,0.0159
2018-01-10 00:43:36,0.1568
2018-01-10 00:44:13,0.0154
2018-01-10 00:44:25,0.0132
2018-01-10 00:44:26,0.0167
2018-01-10 00:44:57,0.0138
2018-01-10 00:45:06,0.0195
2018-01-10 00:45:15,0.0349
2018-01-10 00:46:14,0.0177
2018-01-10 00:46:21,0.0203
2018-01-10 00:46:52,0.0391
2018-01-10 00:47:10,0.0116
2018-01-10 00:47:21,0.0183
2018-01-10 00:47:55,0.0226
